id,result,dps,push,nuke,durable,disable,initial,healing,ac,var,theta
2761900096,0.0,7.634888888888889,5.227111111111111,7.055555555555555,7.977777777777778,8.333333333333334,7.875,3.25,0.0,0.0,0.0
2761900105,0.0,7.3597777777777775,5.670888888888889,6.844444444444445,7.7555555555555555,7.833333333333333,8.25,4.0,0.0,0.0,0.0
2761900106,0.0,8.18311111111111,3.507111111111111,7.055555555555556,7.522222222222222,7.666666666666667,8.375,6.625,0.0,0.0,0.0
2761900107,0.0,8.214444444444446,4.82,8.322222222222221,8.222222222222221,6.666666666666667,8.375,1.0,0.0,0.0,0.0
2761900108,0.0,7.829111111111112,4.996666666666667,5.655555555555556,8.566666666666666,8.166666666666666,8.875,1.5,0.0,0.0,0.0
2761900113,0.0,8.362666666666668,5.892444444444446,7.955555555555555,8.655555555555555,7.833333333333333,7.875,3.375,0.0,0.0,0.0
2761900114,0.0,8.181333333333333,6.075333333333335,8.133333333333333,7.844444444444445,7.333333333333333,7.0,7.375,0.0,0.0,0.0
2761900115,0.0,7.507555555555555,5.720666666666666,7.3999999999999995,7.855555555555556,6.166666666666667,8.375,6.875,0.0,0.0,0.0
2761900116,0.0,6.507333333333333,5.249777777777777,7.122222222222224,8.3,8.166666666666666,8.75,6.25,0.0,0.0,0.0
2761900117,0.0,7.469555555555555,5.30288888888889,7.300000000000001,7.655555555555556,7.833333333333333,8.375,7.75,0.0,0.0,0.0
2761900118,0.0,7.5040000000000004,5.764444444444445,8.633333333333333,7.444444444444445,9.0,9.0,1.875,0.0,0.0,0.0
2761900119,0.0,7.165111111111112,4.563777777777777,7.511111111111112,7.688888888888889,7.833333333333333,8.375,2.5,0.0,0.0,0.0
2761900125,0.0,7.563333333333333,6.046222222222223,7.555555555555555,7.911111111111111,8.166666666666666,8.625,1.875,0.0,0.0,0.0
2761900126,0.0,6.962888888888888,5.234222222222223,5.555555555555555,7.977777777777778,7.5,6.875,2.375,0.0,0.0,0.0
2761900127,0.0,8.584888888888889,5.453555555555557,6.955555555555557,7.077777777777778,6.166666666666667,8.875,3.25,0.0,0.0,0.0
2761900129,0.0,8.457777777777778,5.82,7.266666666666666,8.033333333333333,7.666666666666667,5.875,1.0,0.0,0.0,0.0
2761900130,0.0,7.648444444444444,5.7073333333333345,7.611111111111111,8.077777777777778,7.166666666666667,8.375,3.25,0.0,0.0,0.0
2761900136,0.0,7.538888888888888,5.998666666666667,7.844444444444445,8.722222222222221,7.0,7.875,5.0,0.0,0.0,0.0
2761900138,0.0,6.922888888888888,5.159777777777778,5.588888888888889,7.611111111111111,7.333333333333333,7.625,6.875,0.0,0.0,0.0
2761900140,0.0,6.796444444444445,3.618888888888889,6.844444444444445,7.566666666666666,7.5,7.5,7.625,0.0,0.0,0.0
