id,result,dps,push,nuke,durable,disable,initial,healing,ac,var,theta
2761900487,0.0,7.615333333333335,4.689111111111111,7.611111111111111,8.344444444444443,6.666666666666667,7.25,5.25,0.0,0.0,0.0
2761900494,0.0,7.034666666666666,4.760222222222222,6.966666666666667,8.7,7.666666666666667,8.0,7.875,0.0,0.0,0.0
2761900505,0.0,8.588222222222221,4.497333333333334,7.844444444444444,8.344444444444443,7.833333333333333,7.625,2.25,0.0,0.0,0.0
2761900559,0.0,6.613777777777778,4.623555555555555,6.722222222222222,8.177777777777777,8.5,9.125,5.25,0.0,0.0,0.0
2761900561,0.0,7.0088888888888885,4.446,7.577777777777778,6.677777777777778,7.333333333333333,8.0,4.25,0.0,0.0,0.0
2761900568,0.0,8.236888888888888,3.9213333333333336,7.411111111111111,7.955555555555555,8.166666666666666,8.5,4.75,0.0,0.0,0.0
2761900577,0.0,8.356,5.087111111111112,6.98888888888889,6.855555555555556,7.333333333333333,8.25,3.5,0.0,0.0,0.0
2761900621,0.0,6.758666666666667,5.227777777777778,8.244444444444445,6.033333333333334,7.333333333333333,7.375,3.25,0.0,0.0,0.0
2761900627,0.0,7.113555555555556,4.830222222222222,6.888888888888889,6.7,7.666666666666667,7.625,7.375,0.0,0.0,0.0
2761900634,0.0,7.011111111111111,5.225555555555556,8.288888888888888,7.6000000000000005,8.5,9.0,2.25,0.0,0.0,0.0
2761900638,0.0,7.46,5.607111111111112,7.666666666666667,7.288888888888888,4.5,8.375,4.0,0.0,0.0,0.0
2761900646,0.0,7.210000000000002,5.564666666666667,6.433333333333334,7.677777777777779,8.333333333333334,9.0,4.75,0.0,0.0,0.0
2761900685,0.0,7.441111111111109,5.935111111111112,7.533333333333333,7.322222222222223,6.666666666666667,8.75,4.75,0.0,0.0,0.0
2761900744,0.0,7.37488888888889,5.30888888888889,6.455555555555556,7.377777777777778,8.166666666666666,9.0,4.75,0.0,0.0,0.0
2761900752,0.0,7.390888888888889,5.1595555555555555,5.322222222222223,8.511111111111111,8.166666666666666,8.25,6.625,0.0,0.0,0.0
2761900776,0.0,6.799555555555556,5.636444444444445,7.866666666666666,6.611111111111111,9.0,9.375,2.375,0.0,0.0,0.0
2761900802,0.0,7.01288888888889,4.717555555555555,6.944444444444445,7.366666666666666,7.666666666666667,8.25,8.0,0.0,0.0,0.0
2761900819,0.0,7.046444444444444,4.452444444444444,7.7777777777777795,7.122222222222222,8.0,8.375,3.25,0.0,0.0,0.0
